,Name,# of data cut,# of feature cut,rank difference (coeff),SRCC (coeff),CD (coeff),Bray-Curtis (coeff),rank difference(p-value),SRCC(p-value),CD(p-value),Bray-Curtis(p-value)
0,real_1_DR,5,5,0.008,-0.033,-0.02,0.001,0.667,0.43,0.562,0.928
1,real_1_DR/corr_cut/0.5,4,2,-0.062,0.064,-0.097,-0.055,0.048,0.136,0.108,0.048
2,real_1_DR/corr_cut/0.7,5,4,-0.005,0.013,-0.019,-0.007,0.876,0.806,0.632,0.772
3,real_1_DR/corr_cut/0.9,7,6,0.005,-0.025,0.004,-0.001,0.647,0.223,0.839,0.943
4,real_2_TS,2,3,0.002,-0.014,-0.025,0.002,0.709,0.485,0.134,0.746
5,real_2_TS/corr_cut/0.5,3,4,-0.035,0.013,-0.067,-0.033,0.076,0.392,0.011,0.07
6,real_2_TS/corr_cut/0.7,2,3,0.003,-0.019,-0.028,0.003,0.635,0.394,0.089,0.668
7,real_2_TS/corr_cut/0.9,2,3,0.003,-0.019,-0.028,0.003,0.635,0.394,0.089,0.668
8,real_3_HT,8,7,-0.052,0.127,-0.057,-0.053,0.001,0.001,0.015,0.001
9,real_3_HT/corr_cut/0.5,10,6,-0.13,0.305,-0.13,-0.123,0.0,0.0,0.001,0.0
10,real_3_HT/corr_cut/0.7,8,6,-0.078,0.226,-0.065,-0.077,0.002,0.0,0.027,0.002
11,real_3_HT/corr_cut/0.9,8,6,-0.04,0.151,-0.028,-0.041,0.009,0.003,0.121,0.007
12,real_4_MS,8,5,-0.023,0.023,-0.061,-0.023,0.026,0.061,0.0,0.025
13,real_4_MS/corr_cut/0.5,7,4,-0.023,0.028,-0.051,-0.022,0.027,0.02,0.013,0.027
14,real_4_MS/corr_cut/0.7,10,4,-0.036,0.027,-0.054,-0.034,0.001,0.004,0.001,0.001
15,real_4_MS/corr_cut/0.9,10,4,-0.036,0.027,-0.054,-0.034,0.001,0.004,0.001,0.001
